code,name,registered,voters,blanks,nulls,boycotts,PPD/PSD,PS,CDS-PP,PCP-PEV,B.E.,MEP,PCTP/MRPP,PPM,MPT,MMS,P.N.R.,P.H.,POUS,PPD/PSD.CDS-PP,L,PND,PTP,PAN,MAS,PPV,PNR,PDA
170500,Mondim de Basto,9200,2807,45,27,0,1273,677,443,138,119,28,21,10,8,6,6,3,3,0,0,0,0,0,0,0,0,0
182300,Viseu,93744,34098,1628,680,0,14564,7282,3447,1229,3811,491,266,123,150,165,106,123,33,0,0,0,0,0,0,0,0,0
11200,Murtosa,10342,2795,123,51,0,1557,379,219,125,191,39,28,11,16,31,3,20,2,0,0,0,0,0,0,0,0,0
70500,Évora,48163,18563,762,359,0,4030,4611,1239,3954,2624,241,314,53,103,104,63,85,21,0,0,0,0,0,0,0,0,0
21300,Serpa,14702,5449,166,108,0,622,1178,162,2609,376,26,111,18,18,14,21,19,1,0,0,0,0,0,0,0,0,0
141600,Santarém,54173,20749,1159,482,0,6042,5513,1764,2214,2388,397,249,80,120,145,85,89,22,0,0,0,0,0,0,0,0,0
40600,Miranda do Douro,8770,2535,112,64,0,1194,733,156,55,136,11,17,9,11,22,7,4,4,0,0,0,0,0,0,0,0,0
181000,Oliveira de Frades,9557,3621,204,77,0,1748,742,350,153,201,44,35,10,21,13,5,11,7,0,0,0,0,0,0,0,0,0
40100,Alfândega da Fé,6293,2666,72,41,0,1194,937,160,89,99,18,15,11,9,9,7,4,1,0,0,0,0,0,0,0,0,0
40000,Bragança,162529,49562,1424,986,0,23094,12114,4803,2087,3285,412,426,186,248,175,117,137,68,0,0,0,0,0,0,0,0,0
50300,Covilhã,52546,19184,926,439,0,4321,6513,1262,2484,2301,221,286,70,100,98,52,75,36,0,0,0,0,0,0,0,0,0
460100,Lajes do Pico,4590,1293,77,13,0,553,488,63,23,49,4,4,4,7,3,1,4,0,0,0,0,0,0,0,0,0,0
180500,Lamego,27304,9334,226,183,0,3824,2119,1193,633,747,135,102,34,33,33,24,41,7,0,0,0,0,0,0,0,0,0
420100,Lagoa (R.A.A),12641,2039,110,30,0,716,757,148,61,140,13,18,6,28,4,0,5,3,0,0,0,0,0,0,0,0,0
10900,Santa Maria da Feira,123004,47416,2368,892,0,16337,14025,3878,2530,4782,478,674,201,227,613,90,248,73,0,0,0,0,0,0,0,0,0
182200,Vila Nova de Paiva,6938,1823,67,40,0,864,357,246,77,129,9,10,4,8,3,4,4,1,0,0,0,0,0,0,0,0,0
10700,Espinho,31963,14611,772,393,0,4547,3882,1174,1648,1473,135,217,58,55,133,35,76,13,0,0,0,0,0,0,0,0,0
60300,Coimbra,128516,51007,2916,779,0,14396,13689,3502,5663,7529,946,529,166,245,310,99,190,48,0,0,0,0,0,0,0,0,0
120300,Avis,4159,2182,60,44,0,266,396,71,1129,144,7,32,12,6,6,4,4,1,0,0,0,0,0,0,0,0,0
20300,Alvito,2147,795,20,11,0,145,192,48,266,73,9,20,5,1,0,2,2,1,0,0,0,0,0,0,0,0,0
310700,Ribeira Brava,14257,5853,112,152,0,3826,530,475,199,203,24,63,34,121,10,16,73,15,0,0,0,0,0,0,0,0,0
160600,Ponte da Barca,14684,4657,125,72,0,2255,1473,233,142,248,33,22,11,16,9,3,12,3,0,0,0,0,0,0,0,0,0
101300,Pedrógão Grande,3965,1519,84,45,0,851,268,81,47,80,11,11,9,6,9,9,3,5,0,0,0,0,0,0,0,0,0
150200,Alcochete,12303,4723,299,91,0,747,1148,369,1153,623,83,65,23,31,28,32,25,6,0,0,0,0,0,0,0,0,0
11700,Sever do Vouga,12328,4952,307,112,0,2423,819,609,172,304,46,38,21,18,57,7,17,2,0,0,0,0,0,0,0,0,0
141100,Ferreira do Zêzere,8429,3382,167,115,0,1530,795,275,114,218,27,33,17,34,15,14,20,8,0,0,0,0,0,0,0,0,0
30800,Guimarães,143233,59849,2302,799,0,16584,20014,5856,6080,5490,653,893,232,244,321,101,172,108,0,0,0,0,0,0,0,0,0
10600,Castelo de Paiva,15120,4716,164,107,0,2043,1465,252,163,330,37,53,17,26,28,9,17,5,0,0,0,0,0,0,0,0,0
180000,Viseu,391590,128778,5688,2630,0,55769,31229,13091,5234,10188,1364,1074,449,632,487,313,463,167,0,0,0,0,0,0,0,0,0
140200,Alcanena,13243,5345,280,119,0,1593,1392,488,572,571,84,87,25,36,37,13,34,14,0,0,0,0,0,0,0,0,0
181600,São Pedro do Sul,18164,6366,336,136,0,2664,1725,512,315,426,65,62,21,33,21,18,24,8,0,0,0,0,0,0,0,0,0
20600,Castro Verde,6713,2502,60,34,0,245,652,80,982,303,15,70,11,12,11,7,6,14,0,0,0,0,0,0,0,0,0
70900,Portel,6067,2488,78,33,0,166,826,57,1047,172,14,55,6,9,10,7,7,1,0,0,0,0,0,0,0,0,0
