code,name,registered,voters,blanks,nulls,boycotts,PPD/PSD,PS,CDS-PP,B.E.,PCP-PEV,PCTP/MRPP,MEP,MPT,PPM,MMS,P.H.,P.N.R.,POUS,PPD/PSD.CDS-PP,PND,L,PAN,PTP,MAS,PNR,PPV,PDA
40000,Bragança,162529,49562,1424,986,0,23094,12114,4803,3285,2087,426,412,248,186,175,137,117,68,0,0,0,0,0,0,0,0,0
90000,Guarda,181291,63258,2524,1561,0,25783,17032,5251,5001,3222,685,690,500,258,276,224,154,97,0,0,0,0,0,0,0,0,0
30000,Braga,774691,315873,12474,4644,0,114251,90567,32130,27067,21611,3404,3690,1351,1115,1369,1143,627,430,0,0,0,0,0,0,0,0,0
110000,Lisboa,1878571,754077,35109,15437,0,195721,200759,64169,95638,96461,8611,17383,5622,3155,6201,3953,4874,984,0,0,0,0,0,0,0,0,0
120000,Portalegre,109388,40061,1727,719,0,9596,12435,2483,3848,7174,781,384,188,173,188,161,148,56,0,0,0,0,0,0,0,0,0
100000,Leiria,427417,152755,10797,4158,0,58554,31247,14287,15677,9892,1425,2659,1043,553,841,849,511,262,0,0,0,0,0,0,0,0,0
130000,Porto,1563262,627189,27071,11039,0,200487,192554,50059,65410,51545,7104,8947,2883,2054,2969,2868,1380,819,0,0,0,0,0,0,0,0,0
60000,Coimbra,398989,143522,8853,2957,0,46668,40814,9229,16683,11605,1499,2016,785,538,724,629,335,187,0,0,0,0,0,0,0,0,0
170000,Vila Real,247048,79631,2368,1283,0,37728,20927,6397,5042,3460,627,550,313,288,209,224,116,99,0,0,0,0,0,0,0,0,0
300000,Madeira,260223,104527,2521,2896,0,54909,15360,8715,5683,6955,1306,748,3039,535,299,984,340,237,0,0,0,0,0,0,0,0,0
20000,Beja,140386,51835,1729,964,0,7135,14343,2105,4842,18061,1223,397,238,193,182,194,140,89,0,0,0,0,0,0,0,0,0
80000,Faro,355797,115773,6472,2469,0,31707,28965,8965,17312,11981,2135,1650,1068,582,721,826,676,244,0,0,0,0,0,0,0,0,0
400000,Açores,225552,48941,2522,581,0,19610,16081,3793,3149,1578,283,287,387,280,111,176,60,43,0,0,0,0,0,0,0,0,0
150000,Setúbal,704926,267371,12221,5721,0,43994,64807,17058,39342,68452,4463,3804,1719,988,1587,1401,1460,354,0,0,0,0,0,0,0,0,0
10000,Aveiro,653456,239152,13201,4736,0,89044,56791,25478,23241,13572,2777,3202,1148,884,3160,1046,522,350,0,0,0,0,0,0,0,0,0
70000,Évora,148715,58092,2159,1009,0,10571,15320,2963,6086,17077,1225,562,266,162,236,221,170,65,0,0,0,0,0,0,0,0,0
160000,Viana do Castelo,262210,85398,3822,1387,0,32750,21875,9038,7908,5293,830,840,420,321,252,317,212,133,0,0,0,0,0,0,0,0,0
140000,Santarém,408247,155867,8706,3957,0,44673,39410,12510,18973,18559,2273,2415,1060,699,902,825,623,282,0,0,0,0,0,0,0,0,0
50000,Castelo Branco,197304,74285,3440,1982,0,24381,22570,5252,7321,5437,960,736,446,348,733,305,245,129,0,0,0,0,0,0,0,0,0
