code,name,registered,voters,blanks,nulls,boycotts,PS,PPD/PSD,B.E.,CDS-PP,MEP,MPT,PCTP/MRPP,MMS,P.H.,P.N.R.,PCP-PEV,POUS,PPM,PPD/PSD.CDS-PP,PTP,PND,L,MAS,PAN,PDA,PNR,PPV
170612,Gralhas,292,106,2,0,0,53,0,3,0,0,4,3,0,0,0,3,1,1,33,2,1,0,0,0,0,0,0
150804,Quinta do Anjo,9403,3315,143,100,0,885,0,184,0,0,218,88,0,0,0,824,6,20,569,18,19,93,15,90,5,24,14
110114,Vila Verde dos Francos,1018,346,9,12,0,186,0,12,0,0,17,2,0,0,0,24,0,2,66,0,7,4,2,0,0,1,2
130730,Vila Boa do Bispo,2762,831,20,25,0,224,0,12,0,0,99,13,0,0,0,18,1,4,368,6,8,15,5,6,0,5,2
110301,Alcoentre,2421,902,35,38,0,355,0,55,0,0,43,25,0,0,0,135,1,8,152,4,7,16,5,16,2,3,2
70524,União das freguesias de Malagueira e Horta das Figueiras,18020,6380,254,176,0,1797,0,392,0,0,348,137,0,0,0,1691,4,19,1233,15,18,147,20,77,7,27,18
160420,Pias,909,253,26,4,0,64,0,2,0,0,14,3,0,0,0,6,0,0,127,0,2,3,0,0,0,2,0
60222,União das freguesias de Portunhos e Outil,1922,551,42,16,0,193,0,27,0,0,49,8,0,0,0,52,1,1,137,3,6,7,2,6,1,0,0
181621,União das freguesias de Santa Cruz da Trapa e São Cristóvão de Lafões,1526,479,32,11,0,165,0,18,0,0,24,2,0,0,0,13,1,0,187,2,7,6,3,3,2,1,2
160436,União das freguesias de Mazedo e Cortes,2950,741,47,16,0,249,0,45,0,0,56,8,0,0,0,37,1,4,238,6,10,7,2,10,0,4,1
30242,Lama,1172,465,26,11,0,95,0,17,0,0,30,6,0,0,0,6,1,3,246,4,9,1,0,6,0,3,1
181314,São Martinho de Mouros,1850,330,7,11,0,120,0,3,0,0,17,3,0,0,0,7,0,2,149,3,1,4,2,0,1,0,0
131413,Monte Córdova,3419,1231,49,33,0,451,0,29,0,0,115,25,0,0,0,62,1,2,409,12,11,11,4,9,0,4,4
120905,Margem,757,258,9,2,0,150,0,12,0,0,8,11,0,0,0,37,0,0,24,0,2,0,1,2,0,0,0
130413,União das freguesias de Fânzeres e São Pedro da Cova,33374,11558,388,327,0,3827,0,599,0,0,769,351,0,0,0,2638,12,60,2031,51,54,157,44,152,13,41,44
160627,União das freguesias de Entre Ambos-os-Rios, Ermida e Germil,828,234,7,4,0,106,0,4,0,0,15,3,0,0,0,10,0,3,80,0,0,1,0,0,1,0,0
80801,Almancil,7621,1757,63,56,0,551,0,82,0,0,124,33,0,0,0,154,5,11,534,15,18,23,9,54,4,12,9
130526,Vilar do Torno e Alentém,1199,406,16,9,0,190,0,7,0,0,17,8,0,0,0,29,0,4,107,2,4,5,4,4,0,0,0
91235,União das freguesias de Tourais e Lajes,1853,597,21,15,0,173,0,9,0,0,26,4,0,0,0,15,1,0,309,1,6,5,3,6,1,2,0
180326,União das freguesias de Picão e Ermida,628,218,11,2,0,39,0,4,0,0,8,7,0,0,0,9,0,1,126,3,4,1,0,1,2,0,0
91212,Sandomil,882,386,26,12,0,131,0,6,0,0,20,2,0,0,0,22,1,1,150,2,4,3,2,3,0,1,0
131128,Rans,1535,563,13,26,0,184,0,25,0,0,40,11,0,0,0,48,2,5,180,3,3,9,2,6,0,1,5
60801,Mira,7429,2168,133,75,0,676,0,60,0,0,173,25,0,0,0,86,5,5,832,13,14,33,6,17,1,8,6
40201,Alfaião,224,74,0,1,0,25,0,0,0,0,1,0,0,0,0,2,0,0,44,0,0,0,1,0,0,0,0
30831,Moreira de Cónegos,4501,1862,66,38,0,890,0,58,0,0,126,31,0,0,0,263,0,13,305,5,13,21,10,14,2,6,1
90603,Cativelos,919,244,11,1,0,108,0,6,0,0,14,1,0,0,0,9,0,1,78,2,8,2,2,1,0,0,0
